Sku|OfferTermCode|Platform|Tenancy|Operation|UsageType|Region|Service|InstanceType|OperatingSystem|AdjustedPricePerUnit|OnDemandHourlyCost|BreakevenPercentage|UpfrontFee|LeaseTerm|PurchaseOption|OfferingClass|TermType|Key|ReservedInstanceCost|OnDemandCostForTerm|CostSavings|PercentSavings|vCPU|Memory
37ATVE8PQAUQTCYZ|VG8YD49WWM|ElastiCache Redis|Shared|CreateCacheCluster:0002|APN2-NodeUsage:cache.r3.4xlarge|ap-northeast-2|AmazonElastiCache|cache.r3.4xlarge|ElastiCache Redis|0.601|2.184|0.447147791325873|9870|3|HEAVY_UTILIZATION|STANDARD|RESERVED|3::HEAVY_UTILIZATION::STANDARD|25664.28|57395.52|31731.24|55.285|16|118
37ATVE8PQAUQTCYZ|YTVHEVGPBZ|ElastiCache Redis|Shared|CreateCacheCluster:0002|APN2-NodeUsage:cache.r3.4xlarge|ap-northeast-2|AmazonElastiCache|cache.r3.4xlarge|ElastiCache Redis|0.875|2.184|0.651008998611738|4790|1|HEAVY_UTILIZATION|STANDARD|RESERVED|1::HEAVY_UTILIZATION::STANDARD|12455|19131.84|6676.84|34.899|16|118
BWBJAC8H45JBERA8|KGRZ3REEDN|ElastiCache Redis|Shared|CreateCacheCluster:0002|APS1-NodeUsage:cache.m1.xlarge|ap-southeast-1|AmazonElastiCache|cache.m1.xlarge|ElastiCache Redis|0.172|0.584|0.386196597235254|1407|3|MEDIUM_UTILIZATION|STANDARD|RESERVED|3::MEDIUM_UTILIZATION::STANDARD|5927.16|15347.52|9420.36|61.38|4|14.6
BWBJAC8H45JBERA8|YTVHEVGPBZ|ElastiCache Redis|Shared|CreateCacheCluster:0002|APS1-NodeUsage:cache.m1.xlarge|ap-southeast-1|AmazonElastiCache|cache.m1.xlarge|ElastiCache Redis|0.186|0.584|0.529406705448177|1079|1|HEAVY_UTILIZATION|STANDARD|RESERVED|1::HEAVY_UTILIZATION::STANDARD|2708.36|5115.84|2407.48|47.059|4|14.6
BWBJAC8H45JBERA8|DK9W8XRWES|ElastiCache Redis|Shared|CreateCacheCluster:0002|APS1-NodeUsage:cache.m1.xlarge|ap-southeast-1|AmazonElastiCache|cache.m1.xlarge|ElastiCache Redis|0.328|0.584|0.63748670795021|388|1|LIGHT_UTILIZATION|STANDARD|RESERVED|1::LIGHT_UTILIZATION::STANDARD|3261.28|5115.84|1854.56|36.251|4|14.6
BWBJAC8H45JBERA8|VHSX6N8RTZ|ElastiCache Redis|Shared|CreateCacheCluster:0002|APS1-NodeUsage:cache.m1.xlarge|ap-southeast-1|AmazonElastiCache|cache.m1.xlarge|ElastiCache Redis|0.26|0.584|0.482084401909885|566|3|LIGHT_UTILIZATION|STANDARD|RESERVED|3::LIGHT_UTILIZATION::STANDARD|7398.8|15347.52|7948.72|51.792|4|14.6
BWBJAC8H45JBERA8|JRBFQ5DASS|ElastiCache Redis|Shared|CreateCacheCluster:0002|APS1-NodeUsage:cache.m1.xlarge|ap-southeast-1|AmazonElastiCache|cache.m1.xlarge|ElastiCache Redis|0.221|0.584|0.551807718771502|887|1|MEDIUM_UTILIZATION|STANDARD|RESERVED|1::MEDIUM_UTILIZATION::STANDARD|2822.96|5115.84|2292.88|44.819|4|14.6
BWBJAC8H45JBERA8|VG8YD49WWM|ElastiCache Redis|Shared|CreateCacheCluster:0002|APS1-NodeUsage:cache.m1.xlarge|ap-southeast-1|AmazonElastiCache|cache.m1.xlarge|ElastiCache Redis|0.141|0.584|0.351814495110611|1694|3|HEAVY_UTILIZATION|STANDARD|RESERVED|3::HEAVY_UTILIZATION::STANDARD|5399.48|15347.52|9948.04|64.819|4|14.6
M7NFTB9Y2QASVSNQ|VG8YD49WWM|ElastiCache Memcached|Shared|CreateCacheCluster:0001|USW2-NodeUsage:cache.t2.medium|us-west-2|AmazonElastiCache|cache.t2.medium|ElastiCache Memcached|0.015|0.068|0.464567105380965|436|3|HEAVY_UTILIZATION|STANDARD|RESERVED|3::HEAVY_UTILIZATION::STANDARD|830.2|1787.04|956.84|53.543|2|3.22
M7NFTB9Y2QASVSNQ|YTVHEVGPBZ|ElastiCache Memcached|Shared|CreateCacheCluster:0001|USW2-NodeUsage:cache.t2.medium|us-west-2|AmazonElastiCache|cache.t2.medium|ElastiCache Memcached|0.023|0.068|0.680701047542305|204|1|HEAVY_UTILIZATION|STANDARD|RESERVED|1::HEAVY_UTILIZATION::STANDARD|405.48|595.68|190.2|31.93|2|3.22
